Time,X,Y,Z,RotX,RotY,RotZ,Speed,YawRate,PitchRate,Event,GazeTarget,GazeHitX,GazeHitY,GazeHitZ
0.00,-95.84,7.31,61.22,0.0,0.0,0.0,0.00,0.00,0.00,None,None,0.00,0.00,0.00
0.12,-95.84,7.30,61.22,0.0,0.0,0.0,0.10,0.00,0.00,None,None,-95.84,7.30,81.22
0.20,-95.84,6.99,61.22,0.0,0.0,0.0,3.84,0.00,0.00,None,None,-95.84,6.99,81.22
0.32,-95.84,6.76,61.22,0.0,0.0,0.0,1.92,0.00,0.00,None,None,-95.84,6.76,81.22
0.40,-95.84,6.34,61.22,0.0,0.0,0.0,5.12,0.00,0.00,None,None,-95.84,6.34,81.22
0.50,-95.84,5.87,61.22,0.0,0.0,0.0,4.66,0.00,0.00,None,None,-95.84,5.87,81.22
0.60,-95.84,5.32,61.22,0.0,0.0,0.0,5.64,0.00,0.00,None,None,-95.84,5.32,81.22
0.70,-95.84,4.65,61.22,0.0,0.0,0.0,6.61,0.00,0.00,None,None,-95.84,4.65,81.22
0.80,-95.84,3.87,61.22,0.0,0.0,0.0,7.61,0.00,0.00,None,None,-95.84,3.87,81.22
0.91,-95.84,3.00,61.22,0.0,0.0,0.0,8.60,0.00,0.00,None,None,-95.84,3.00,81.22
1.00,-95.84,2.08,61.22,0.0,0.0,0.0,9.57,0.00,0.00,None,None,-95.84,2.08,81.22
1.11,-95.84,1.63,61.22,0.0,0.0,0.0,4.36,0.00,0.00,None,None,-95.84,1.63,81.22
1.20,-95.84,1.63,61.22,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-95.84,1.63,81.22
1.30,-95.84,1.63,61.22,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-95.84,1.63,81.22
1.41,-95.84,1.63,61.22,359.0,4.8,0.0,0.00,46.04,-9.59,None,None,-94.17,1.98,81.14
1.50,-95.84,1.63,61.22,357.6,23.8,0.0,0.00,193.48,-14.26,None,None,-87.78,2.47,79.50
1.60,-95.84,1.63,61.22,357.2,44.2,0.0,0.00,209.13,-4.10,None,None,-81.91,2.61,75.54
1.71,-95.84,1.63,61.22,358.4,79.0,0.0,0.00,330.57,11.40,None,None,-76.22,2.19,65.03
1.80,-95.84,1.63,61.22,358.4,110.8,0.0,0.00,337.45,0.00,None,None,-77.15,2.19,54.12
1.90,-95.84,1.63,61.22,358.4,143.6,0.0,0.00,318.96,0.00,None,None,-83.98,2.19,45.13
2.01,-95.84,1.63,61.22,358.0,163.2,0.0,0.00,190.78,-3.89,None,None,-90.06,2.33,42.08
2.10,-95.84,1.63,61.22,357.0,187.8,0.0,0.00,252.97,-10.28,None,None,-98.55,2.68,41.43
2.20,-95.84,1.63,61.22,354.8,204.6,0.0,0.00,171.94,-22.52,None,None,-104.13,3.44,43.11
2.30,-95.84,1.63,61.22,354.8,204.6,0.0,0.00,0.00,0.00,None,None,-104.13,3.44,43.11
2.40,-95.84,1.63,61.22,354.8,204.6,0.0,0.00,0.00,0.00,None,None,-104.13,3.44,43.11
2.51,-95.84,1.63,61.22,354.8,204.6,0.0,0.00,0.00,0.00,None,None,-104.13,3.44,43.11
2.61,-95.84,1.63,61.22,354.8,204.6,0.0,0.00,0.00,0.00,None,None,-104.13,3.44,43.11
2.70,-95.84,1.63,61.22,356.2,207.2,0.0,0.00,27.28,14.69,None,None,-104.96,2.96,43.47
2.81,-95.84,1.63,61.22,359.6,217.6,0.0,0.00,94.45,30.88,None,None,-108.04,1.77,45.37
2.91,-95.84,1.63,61.22,0.8,226.0,0.0,0.00,87.35,12.48,None,None,-110.23,1.35,47.33
3.00,-95.84,1.63,61.22,1.4,235.0,0.0,0.00,92.65,6.18,None,road_sign_directions (3),-111.98,1.15,49.92
3.10,-95.84,1.63,61.22,1.4,236.8,0.0,0.00,18.22,0.00,None,road_sign_directions (3),-111.98,1.16,50.66
3.20,-95.84,1.63,61.22,1.4,236.8,0.0,0.00,0.00,0.00,None,road_sign_directions (3),-111.98,1.16,50.66
3.24,-95.84,1.63,61.22,1.4,236.8,0.0,,,,ConfusedPromptActivated,road_sign_directions (3),-111.98,1.16,50.66
3.30,-95.84,1.63,61.22,1.4,236.8,0.0,0.00,0.00,0.00,None,road_sign_directions (3),-111.98,1.16,50.66
3.40,-95.84,1.63,61.22,1.4,236.8,0.0,0.00,0.00,0.00,None,road_sign_directions (3),-111.98,1.16,50.66
3.50,-95.84,1.63,61.22,1.4,236.8,0.0,0.00,0.00,0.00,None,road_sign_directions (3),-111.98,1.16,50.66
