Time,X,Y,Z,RotX,RotY,RotZ,Speed,YawRate,PitchRate,Event,GazeTarget,GazeHitX,GazeHitY,GazeHitZ
0.00,-10.70,5.71,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,0.00,0.00,0.00
0.12,-10.70,5.70,-67.52,0.0,0.0,0.0,0.10,0.00,0.00,None,None,-10.70,5.70,-47.52
0.22,-10.70,5.40,-67.52,0.0,0.0,0.0,2.93,0.00,0.00,None,None,-10.70,5.40,-47.52
0.32,-10.70,5.01,-67.52,0.0,0.0,0.0,4.12,0.00,0.00,None,None,-10.70,5.01,-47.52
0.41,-10.70,4.63,-67.52,0.0,0.0,0.0,3.95,0.00,0.00,None,None,-10.70,4.63,-47.52
0.50,-10.70,4.19,-67.52,0.0,0.0,0.0,4.77,0.00,0.00,None,None,-10.70,4.19,-47.52
0.60,-10.70,3.63,-67.52,0.0,0.0,0.0,5.66,0.00,0.00,None,None,-10.70,3.63,-47.52
0.70,-10.70,2.98,-67.52,0.0,0.0,0.0,6.62,0.00,0.00,None,None,-10.70,2.98,-47.52
0.80,-10.70,2.21,-67.52,0.0,0.0,0.0,7.60,0.00,0.00,None,None,-10.70,2.21,-47.52
0.90,-10.70,1.72,-67.52,0.0,0.0,0.0,4.94,0.00,0.00,None,None,-10.70,1.72,-47.52
1.00,-10.70,1.72,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.72,-47.52
1.11,-10.70,1.72,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.72,-47.52
1.20,-10.70,1.72,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.72,-47.52
1.30,-10.70,1.72,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.72,-47.52
1.41,-10.70,1.72,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.72,-47.52
1.50,-10.70,1.72,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.72,-47.52
1.60,-10.70,1.72,-67.43,0.0,0.0,0.0,0.89,0.00,0.00,None,None,-10.70,1.72,-47.43
1.70,-10.70,1.72,-67.33,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.72,-47.33
1.80,-10.70,1.72,-67.23,0.0,0.0,0.0,0.99,0.00,0.00,None,None,-10.70,1.72,-47.23
1.90,-10.70,1.72,-67.13,0.0,0.0,0.0,1.01,0.00,0.00,None,None,-10.70,1.72,-47.13
2.00,-10.70,1.72,-67.03,0.0,0.0,0.0,0.99,0.00,0.00,None,None,-10.70,1.72,-47.03
2.10,-10.70,1.72,-66.93,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.72,-46.93
2.20,-10.70,1.72,-66.83,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.72,-46.83
2.30,-10.70,1.72,-66.73,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.72,-46.73
2.40,-10.70,1.72,-66.63,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.72,-46.63
2.50,-10.70,1.72,-66.53,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.72,-46.53
2.60,-10.72,1.72,-66.43,0.0,0.0,0.0,1.02,0.00,0.00,None,None,-10.72,1.72,-46.43
2.70,-10.82,1.72,-66.33,0.0,0.0,0.0,1.42,0.00,0.00,None,None,-10.82,1.72,-46.33
2.80,-10.92,1.72,-66.23,0.0,0.0,0.0,1.41,0.00,0.00,None,None,-10.92,1.72,-46.23
2.90,-11.02,1.72,-66.13,0.0,0.0,0.0,1.41,0.00,0.00,None,None,-11.02,1.72,-46.13
3.00,-11.12,1.72,-66.03,0.0,0.0,0.0,1.42,0.00,0.00,None,None,-11.12,1.72,-46.03
3.10,-11.22,1.72,-65.93,0.0,0.0,0.0,1.42,0.00,0.00,None,None,-11.22,1.72,-45.93
3.20,-11.32,1.72,-65.83,0.0,0.0,0.0,1.41,0.00,0.00,None,None,-11.32,1.72,-45.83
3.30,-11.42,1.72,-65.73,0.0,0.0,0.0,1.41,0.00,0.00,None,None,-11.42,1.72,-45.73
3.40,-11.52,1.72,-65.63,0.0,0.0,0.0,1.39,0.00,0.00,None,None,-11.52,1.72,-45.63
3.50,-11.57,1.72,-65.53,0.0,0.0,0.0,1.14,0.00,0.00,None,None,-11.57,1.72,-45.53
3.60,-11.57,1.72,-65.43,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-11.57,1.72,-45.43
3.70,-11.57,1.72,-65.33,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-11.57,1.72,-45.33
3.80,-11.57,1.72,-65.23,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-11.57,1.72,-45.23
3.90,-11.57,1.72,-65.13,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-11.57,1.72,-45.13
4.00,-11.57,1.72,-65.03,0.0,0.0,0.0,0.98,0.00,0.00,None,None,-11.57,1.72,-45.03
4.10,-11.58,1.72,-64.93,0.0,0.0,0.0,1.02,0.00,0.00,None,None,-11.58,1.72,-44.93
