Time,X,Y,Z,RotX,RotY,RotZ,Speed,YawRate,PitchRate,Event,GazeTarget,GazeHitX,GazeHitY,GazeHitZ
0.00,-95.84,7.31,61.22,0.0,0.0,0.0,0.00,0.00,0.00,None,None,0.00,0.00,0.00
0.12,-95.84,7.30,61.22,0.0,0.0,0.0,0.10,0.00,0.00,None,None,-95.84,7.30,81.22
0.20,-95.84,6.97,61.22,0.0,0.0,0.0,3.93,0.00,0.00,None,None,-95.84,6.97,81.22
0.30,-95.84,6.69,61.22,0.0,0.0,0.0,2.75,0.00,0.00,None,None,-95.84,6.69,81.22
0.41,-95.84,6.29,61.22,0.0,0.0,0.0,3.78,0.00,0.00,None,None,-95.84,6.29,81.22
0.50,-95.84,5.86,61.22,0.0,0.0,0.0,4.73,0.00,0.00,None,None,-95.84,5.86,81.22
0.60,-95.84,5.30,61.22,0.0,0.0,0.0,5.65,0.00,0.00,None,None,-95.84,5.30,81.22
0.70,-95.84,4.64,61.22,0.0,0.0,0.0,6.63,0.00,0.00,None,None,-95.84,4.64,81.22
0.80,-95.84,3.88,61.22,0.0,0.0,0.0,7.61,0.00,0.00,None,None,-95.84,3.88,81.22
0.91,-95.84,2.94,61.22,0.0,0.0,0.0,8.63,0.00,0.00,None,None,-95.84,2.94,81.22
1.00,-95.84,2.01,61.22,0.0,0.0,0.0,9.64,0.00,0.00,None,None,-95.84,2.01,81.22
1.10,-95.84,1.60,61.22,0.0,0.0,0.0,4.11,0.00,0.00,None,None,-95.84,1.60,81.22
1.20,-95.84,1.60,61.22,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-95.84,1.60,81.22
1.30,-95.84,1.60,61.22,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-95.84,1.60,81.22
1.40,-95.84,1.60,61.22,359.6,9.6,0.0,0.00,95.38,-3.97,None,None,-92.50,1.74,80.94
1.50,-95.84,1.60,61.22,359.0,54.8,0.0,0.00,443.12,-5.88,None,None,-79.50,1.95,72.74
1.60,-95.84,1.60,61.22,357.2,97.2,0.0,0.00,424.51,-18.02,None,None,-76.02,2.58,58.71
1.70,-95.84,1.60,61.22,356.2,101.0,0.0,0.00,37.93,-9.98,None,None,-76.25,2.93,57.41
1.81,-95.84,1.60,61.22,356.2,101.0,0.0,0.00,0.00,0.00,None,None,-76.25,2.93,57.41
1.90,-95.84,1.60,61.22,356.2,101.0,0.0,0.00,0.00,0.00,None,None,-76.25,2.93,57.41
2.01,-95.84,1.60,61.22,358.8,109.2,0.0,0.00,78.71,24.96,None,None,-76.96,2.02,54.64
2.10,-95.84,1.60,61.22,359.4,182.4,0.0,0.00,760.96,6.24,None,None,-96.68,1.81,41.24
2.20,-95.84,1.60,61.22,358.4,203.6,0.0,0.00,218.52,-10.31,None,None,-103.84,2.16,42.90
2.30,-95.84,1.60,61.22,358.4,203.6,0.0,0.00,0.00,0.00,None,None,-103.84,2.16,42.90
2.41,-95.84,1.60,61.22,358.4,203.6,0.0,0.00,0.00,0.00,None,None,-103.84,2.16,42.90
2.50,-95.84,1.60,61.22,358.4,203.6,0.0,0.00,0.00,0.00,None,None,-103.84,2.16,42.90
2.61,-95.84,1.60,61.22,358.4,203.6,0.0,0.00,0.00,0.00,None,None,-103.84,2.16,42.90
2.71,-95.84,1.60,61.22,359.4,210.0,0.0,0.00,64.25,10.04,None,None,-105.84,1.81,43.90
2.80,-95.84,1.60,61.22,0.2,222.2,0.0,0.00,127.57,8.37,None,None,-109.27,1.53,46.40
2.90,-95.84,1.60,61.22,0.4,222.6,0.0,0.00,3.93,1.96,None,None,-109.38,1.46,46.50
3.00,-95.88,1.60,61.18,0.2,228.8,0.0,0.53,61.80,-1.99,None,None,-110.93,1.53,48.01
3.10,-95.95,1.60,61.12,359.8,231.4,0.0,1.02,26.95,-4.15,None,None,-111.58,1.67,48.64
3.21,-96.04,1.60,61.05,359.8,231.4,0.0,1.03,0.00,0.00,None,None,-111.67,1.67,48.57
3.30,-96.11,1.60,60.99,359.8,231.4,0.0,1.00,0.00,0.00,None,None,-111.74,1.67,48.51
3.41,-96.19,1.60,60.93,359.8,231.4,0.0,0.99,0.00,0.00,None,None,-111.82,1.67,48.45
3.50,-96.27,1.60,60.86,359.8,231.4,0.0,1.07,0.00,0.00,None,None,-111.90,1.67,48.39
3.60,-96.35,1.60,60.80,359.8,231.4,0.0,0.99,0.00,0.00,None,None,-111.98,1.67,48.32
3.71,-96.43,1.60,60.74,359.8,231.4,0.0,0.99,0.00,0.00,None,None,-112.06,1.67,48.26
