Time,X,Y,Z,RotX,RotY,RotZ,Speed,YawRate,PitchRate,Event,GazeTarget,GazeHitX,GazeHitY,GazeHitZ
0.00,-10.70,5.71,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,0.00,0.00,0.00
0.12,-10.70,5.70,-67.52,0.0,0.0,0.0,0.10,0.00,0.00,None,None,-10.70,5.70,-47.52
0.22,-10.70,5.40,-67.52,0.0,0.0,0.0,2.95,0.00,0.00,None,None,-10.70,5.40,-47.52
0.30,-10.70,5.04,-67.52,0.0,0.0,0.0,4.37,0.00,0.00,None,None,-10.70,5.04,-47.52
0.42,-10.70,4.75,-67.52,0.0,0.0,0.0,2.46,0.00,0.00,None,None,-10.70,4.75,-47.52
0.50,-10.70,4.19,-67.52,0.0,0.0,0.0,6.88,0.00,0.00,None,None,-10.70,4.19,-47.52
0.61,-10.70,3.53,-67.52,0.0,0.0,0.0,5.81,0.00,0.00,None,None,-10.70,3.53,-47.52
0.70,-10.70,2.96,-67.52,0.0,0.0,0.0,6.67,0.00,0.00,None,None,-10.70,2.96,-47.52
0.80,-10.70,2.17,-67.52,0.0,0.0,0.0,7.60,0.00,0.00,None,None,-10.70,2.17,-47.52
0.90,-10.70,1.71,-67.52,0.0,0.0,0.0,4.65,0.00,0.00,None,None,-10.70,1.71,-47.52
1.00,-10.70,1.71,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.71,-47.52
1.10,-10.70,1.71,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.71,-47.52
1.20,-10.70,1.71,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.71,-47.52
1.30,-10.70,1.71,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.71,-47.52
1.40,-10.70,1.71,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.71,-47.52
1.50,-10.70,1.65,-67.52,0.0,0.0,0.0,0.57,0.00,0.00,None,None,-10.70,1.65,-47.52
1.60,-10.70,1.55,-67.52,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.55,-47.52
1.70,-10.70,1.45,-67.52,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.45,-47.52
1.80,-10.70,1.35,-67.52,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.35,-47.52
1.90,-10.70,1.31,-67.52,0.0,0.0,0.0,0.46,0.00,0.00,None,None,-10.70,1.31,-47.52
2.00,-10.70,1.31,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.31,-47.52
2.10,-10.70,1.31,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.31,-47.52
2.20,-10.70,1.31,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.31,-47.52
2.30,-10.70,1.35,-67.52,0.0,0.0,0.0,0.44,0.00,0.00,None,None,-10.70,1.35,-47.52
2.40,-10.70,1.45,-67.52,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.45,-47.52
2.50,-10.70,1.54,-67.52,0.0,0.0,0.0,0.98,0.00,0.00,None,None,-10.70,1.54,-47.52
2.60,-10.70,1.64,-67.52,0.0,0.0,0.0,0.90,0.00,0.00,None,None,-10.70,1.64,-47.52
2.70,-10.70,1.56,-67.51,0.0,0.0,0.0,0.77,0.00,0.00,None,None,-10.70,1.56,-47.51
2.80,-10.70,1.53,-67.41,0.0,0.0,0.0,1.03,0.00,0.00,None,None,-10.70,1.53,-47.41
2.90,-10.70,1.53,-67.31,0.0,0.0,0.0,1.02,0.00,0.00,None,None,-10.70,1.53,-47.31
3.00,-10.70,1.53,-67.21,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.53,-47.21
3.10,-10.70,1.53,-67.11,0.0,0.0,0.0,0.99,0.00,0.00,None,None,-10.70,1.53,-47.11
3.20,-10.70,1.53,-67.01,0.0,0.0,0.0,1.02,0.00,0.00,None,None,-10.70,1.53,-47.01
3.30,-10.70,1.53,-66.91,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.53,-46.91
3.41,-10.70,1.53,-66.81,0.0,0.0,0.0,0.97,0.00,0.00,None,None,-10.70,1.53,-46.81
3.50,-10.74,1.53,-66.71,0.0,0.0,0.0,1.12,0.00,0.00,None,None,-10.74,1.53,-46.71
3.60,-10.84,1.53,-66.61,0.0,0.0,0.0,1.42,0.00,0.00,None,None,-10.84,1.53,-46.61
3.70,-10.94,1.53,-66.51,0.0,0.0,0.0,1.41,0.00,0.00,None,None,-10.94,1.53,-46.51
3.80,-11.02,1.53,-66.41,0.0,0.0,0.0,1.25,0.00,0.00,None,None,-11.02,1.53,-46.41
3.90,-11.02,1.53,-66.31,0.0,0.0,0.0,0.99,0.00,0.00,None,None,-11.02,1.53,-46.31
4.00,-11.02,1.53,-66.21,0.0,0.0,0.0,1.01,0.00,0.00,None,None,-11.02,1.53,-46.21
4.10,-11.02,1.53,-66.11,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-11.02,1.53,-46.11
