Time,X,Y,Z,RotX,RotY,RotZ,Speed,YawRate,PitchRate,Event,GazeTarget,GazeHitX,GazeHitY,GazeHitZ
0.00,-10.70,5.71,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,0.00,0.00,0.00
0.12,-10.70,5.70,-67.52,0.0,0.0,0.0,0.10,0.00,0.00,None,None,-10.70,5.70,-47.52
0.22,-10.70,5.32,-67.52,0.0,0.0,0.0,3.74,0.00,0.00,None,None,-10.70,5.32,-47.52
0.31,-10.70,5.00,-67.52,0.0,0.0,0.0,3.80,0.00,0.00,None,None,-10.70,5.00,-47.52
0.41,-10.70,4.61,-67.52,0.0,0.0,0.0,3.83,0.00,0.00,None,None,-10.70,4.61,-47.52
0.51,-10.70,4.12,-67.52,0.0,0.0,0.0,4.81,0.00,0.00,None,None,-10.70,4.12,-47.52
0.61,-10.70,3.56,-67.52,0.0,0.0,0.0,5.73,0.00,0.00,None,None,-10.70,3.56,-47.52
0.71,-10.70,2.89,-67.52,0.0,0.0,0.0,6.70,0.00,0.00,None,None,-10.70,2.89,-47.52
0.81,-10.70,2.13,-67.52,0.0,0.0,0.0,7.67,0.00,0.00,None,None,-10.70,2.13,-47.52
0.90,-10.70,1.97,-67.52,0.0,0.0,0.0,1.65,0.00,0.00,None,None,-10.70,1.97,-47.52
1.00,-10.70,1.97,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.97,-47.52
1.10,-10.70,1.97,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.97,-47.52
1.20,-10.70,1.97,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.97,-47.52
1.31,-10.70,1.97,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.97,-47.52
1.40,-10.70,1.97,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.97,-47.52
1.50,-10.70,1.97,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.97,-47.52
1.61,-10.70,1.97,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.97,-47.52
1.70,-10.70,1.97,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.97,-47.52
1.80,-10.70,1.97,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.97,-47.52
1.90,-10.70,1.97,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.97,-47.52
2.00,-10.70,1.97,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.97,-47.52
2.10,-10.70,1.97,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.97,-47.52
2.20,-10.70,1.97,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.97,-47.52
2.30,-10.70,1.97,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.97,-47.52
2.40,-10.70,1.97,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.97,-47.52
2.50,-10.70,1.97,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.97,-47.52
2.60,-10.70,1.97,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.97,-47.52
2.70,-10.70,1.97,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.97,-47.52
2.81,-10.70,1.97,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.97,-47.52
2.90,-10.70,1.97,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.97,-47.52
3.00,-10.70,1.97,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.97,-47.52
3.01,-10.70,1.97,-67.52,0.0,0.0,0.0,,,,ConfusedPromptActivated,None,-10.70,1.97,-47.52
3.10,-10.70,1.97,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.97,-47.52
3.20,-10.70,1.97,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.97,-47.52
3.31,-10.70,1.97,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.97,-47.52
3.41,-10.70,1.97,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.97,-47.52
3.50,-10.70,1.97,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.97,-47.52
3.60,-10.70,1.97,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.97,-47.52
3.70,-10.70,1.97,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.97,-47.52
3.80,-10.70,1.97,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.97,-47.52
3.90,-10.70,1.97,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.97,-47.52
4.01,-10.70,1.97,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.97,-47.52
