Time,X,Y,Z,RotX,RotY,RotZ,Speed,YawRate,PitchRate,Event,GazeTarget,GazeHitX,GazeHitY,GazeHitZ
0.00,-95.84,7.31,61.22,0.0,0.0,0.0,0.00,0.00,0.00,None,None,0.00,0.00,0.00
0.12,-95.84,7.30,61.22,0.0,0.0,0.0,0.10,0.00,0.00,None,None,-95.84,7.30,81.22
0.22,-95.84,7.06,61.22,0.0,0.0,0.0,2.41,0.00,0.00,None,None,-95.84,7.06,81.22
0.31,-95.84,6.65,61.22,0.0,0.0,0.0,4.54,0.00,0.00,None,None,-95.84,6.65,81.22
0.40,-95.84,6.28,61.22,0.0,0.0,0.0,3.89,0.00,0.00,None,None,-95.84,6.28,81.22
0.50,-95.84,5.81,61.22,0.0,0.0,0.0,4.76,0.00,0.00,None,None,-95.84,5.81,81.22
0.60,-95.84,5.24,61.22,0.0,0.0,0.0,5.66,0.00,0.00,None,None,-95.84,5.24,81.22
0.70,-95.84,4.58,61.22,0.0,0.0,0.0,6.65,0.00,0.00,None,None,-95.84,4.58,81.22
0.80,-95.84,3.83,61.22,0.0,0.0,0.0,7.62,0.00,0.00,None,None,-95.84,3.83,81.22
0.90,-95.84,2.95,61.22,0.0,0.0,0.0,8.59,0.00,0.00,None,None,-95.84,2.95,81.22
1.00,-95.84,2.02,61.22,0.0,0.0,0.0,9.58,0.00,0.00,None,None,-95.84,2.02,81.22
1.10,-95.84,1.62,61.22,0.0,0.0,0.0,4.07,0.00,0.00,None,None,-95.84,1.62,81.22
1.20,-95.84,1.62,61.22,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-95.84,1.62,81.22
1.30,-95.84,1.62,61.22,359.8,3.0,0.0,0.00,29.86,-1.99,None,None,-94.79,1.69,81.19
1.40,-95.84,1.62,61.22,1.8,36.4,0.0,0.00,335.58,20.09,None,None,-83.98,0.99,77.31
1.50,-95.84,1.62,61.22,1.6,81.8,0.0,0.00,450.19,-1.98,None,None,-76.05,1.06,64.07
1.61,-95.84,1.62,61.22,2.0,107.2,0.0,0.00,243.43,3.83,None,None,-76.75,0.92,55.31
1.71,-95.84,1.62,61.22,2.2,113.8,0.0,0.00,66.11,2.00,None,None,-77.55,0.85,53.15
1.80,-95.84,1.62,61.22,2.2,113.8,0.0,0.00,0.00,0.00,None,None,-77.55,0.85,53.15
1.90,-95.84,1.62,61.22,2.2,113.8,0.0,0.00,0.00,0.00,None,None,-77.55,0.85,53.15
2.02,-95.84,1.62,61.22,4.4,121.0,0.0,0.00,61.25,18.71,None,None,-78.39,0.22,51.55
2.11,-95.84,1.62,61.22,8.8,169.8,0.0,0.00,553.88,49.94,None,None,-92.34,-1.44,41.77
2.21,-95.84,1.62,61.22,8.0,201.4,0.0,0.00,320.70,-8.12,None,None,-103.07,-1.17,42.78
2.31,-95.84,1.62,61.22,7.8,207.2,0.0,0.00,58.12,-2.00,None,None,-104.90,-1.10,43.59
2.41,-95.84,1.62,61.22,7.8,207.2,0.0,0.00,0.00,0.00,None,None,-104.90,-1.10,43.59
2.51,-95.84,1.62,61.22,8.0,211.0,0.0,0.00,37.56,1.98,None,None,-106.04,-1.17,44.24
2.60,-95.84,1.62,61.22,9.2,232.0,0.0,0.00,228.65,13.07,None,None,-111.40,-1.58,49.06
2.70,-95.84,1.62,61.22,9.4,234.4,0.0,0.00,23.26,1.94,None,None,-111.88,-1.65,49.73
2.81,-95.84,1.62,61.22,10.0,242.4,0.0,0.00,77.66,5.82,None,None,-113.29,-1.86,52.09
2.90,-95.84,1.62,61.22,10.6,247.0,0.0,0.00,47.97,6.26,None,None,-113.94,-2.06,53.54
3.00,-95.84,1.62,61.22,10.6,247.0,0.0,0.00,0.00,0.00,None,None,-113.94,-2.06,53.54
3.10,-95.84,1.62,61.22,10.6,247.0,0.0,0.00,0.00,0.00,None,None,-113.94,-2.06,53.54
3.20,-95.84,1.62,61.22,10.6,247.0,0.0,0.00,0.00,0.00,None,None,-113.94,-2.06,53.54
3.23,-95.84,1.62,61.22,10.6,247.0,0.0,,,,ConfusedPromptActivated,None,-113.94,-2.06,53.54
3.30,-95.84,1.62,61.22,10.6,247.0,0.0,0.00,0.00,0.00,None,None,-113.94,-2.06,53.54
3.40,-95.84,1.62,61.22,10.6,247.0,0.0,0.00,0.00,0.00,None,None,-113.94,-2.06,53.54
3.50,-95.84,1.62,61.22,10.6,247.0,0.0,0.00,0.00,0.00,None,None,-113.94,-2.06,53.54
3.60,-95.84,1.62,61.22,10.6,247.0,0.0,0.00,0.00,0.00,None,None,-113.94,-2.06,53.54
