Time,X,Y,Z,RotX,RotY,RotZ,Speed,YawRate,PitchRate,Event,GazeTarget,GazeHitX,GazeHitY,GazeHitZ
0.00,-9.12,4.88,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,None,0.00,0.00,0.00
0.12,-9.12,4.86,-68.29,0.0,0.0,0.0,0.10,0.00,0.00,None,Signs,-9.12,4.86,-51.85
0.21,-9.12,4.43,-68.29,0.0,0.0,0.0,4.76,0.00,0.00,None,Signs,-9.12,4.43,-51.85
0.32,-9.12,4.43,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,Signs,-9.12,4.43,-51.85
0.42,-9.12,3.74,-68.29,0.0,0.0,0.0,6.88,0.00,0.00,None,None,-9.12,3.74,-48.29
0.50,-9.12,3.20,-68.29,0.0,0.0,0.0,6.70,0.00,0.00,None,None,-9.12,3.20,-48.29
0.62,-9.12,2.64,-68.29,0.0,0.0,0.0,4.70,0.00,0.00,None,None,-9.12,2.64,-48.29
0.71,-9.12,1.94,-68.29,0.0,0.0,0.0,7.96,0.00,0.00,None,None,-9.12,1.94,-48.29
0.81,-9.12,1.94,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-9.12,1.94,-48.29
0.90,-9.12,1.94,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-9.12,1.94,-48.29
1.00,-9.12,1.94,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-9.12,1.94,-48.29
1.10,-9.12,1.94,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-9.12,1.94,-48.29
1.20,-9.12,1.94,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-9.12,1.94,-48.29
1.30,-9.12,1.94,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-9.12,1.94,-48.29
1.40,-9.12,1.94,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-9.12,1.94,-48.29
1.50,-9.12,1.94,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-9.12,1.94,-48.29
1.60,-9.12,1.94,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-9.12,1.94,-48.29
1.70,-9.12,1.94,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-9.12,1.94,-48.29
1.81,-9.12,1.94,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-9.12,1.94,-48.29
1.90,-9.12,1.94,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-9.12,1.94,-48.29
2.00,-9.12,1.94,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-9.12,1.94,-48.29
2.10,-9.12,1.94,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-9.12,1.94,-48.29
2.20,-9.12,1.94,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-9.12,1.94,-48.29
2.30,-9.12,1.94,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-9.12,1.94,-48.29
2.41,-9.12,1.94,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-9.12,1.94,-48.29
2.50,-9.12,1.94,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-9.12,1.94,-48.29
2.61,-9.12,1.94,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-9.12,1.94,-48.29
2.70,-9.12,1.94,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-9.12,1.94,-48.29
2.82,-9.12,1.94,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-9.12,1.94,-48.29
2.92,-9.12,1.94,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-9.12,1.94,-48.29
3.02,-9.12,1.94,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-9.12,1.94,-48.29
3.05,-9.12,1.94,-68.29,0.0,0.0,0.0,,,,ConfusedPromptActivated,None,-9.12,1.94,-48.29
3.12,-9.12,1.94,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-9.12,1.94,-48.29
3.22,-9.12,1.94,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-9.12,1.94,-48.29
