Time,X,Y,Z,RotX,RotY,RotZ,Speed,YawRate,PitchRate,Event,GazeTarget,GazeHitX,GazeHitY,GazeHitZ
0.00,-10.70,5.71,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,0.00,0.00,0.00
0.12,-10.70,5.70,-67.52,0.0,0.0,0.0,0.10,0.00,0.00,None,None,-10.70,5.70,-47.52
0.22,-10.70,5.42,-67.52,0.0,0.0,0.0,2.82,0.00,0.00,None,None,-10.70,5.42,-47.52
0.32,-10.70,5.07,-67.52,0.0,0.0,0.0,3.51,0.00,0.00,None,None,-10.70,5.07,-47.52
0.40,-10.70,4.65,-67.52,0.0,0.0,0.0,4.97,0.00,0.00,None,None,-10.70,4.65,-47.52
0.52,-10.70,4.23,-67.52,0.0,0.0,0.0,3.59,0.00,0.00,None,None,-10.70,4.23,-47.52
0.60,-10.70,3.62,-67.52,0.0,0.0,0.0,7.58,0.00,0.00,None,None,-10.70,3.62,-47.52
0.70,-10.70,2.96,-67.52,0.0,0.0,0.0,6.60,0.00,0.00,None,None,-10.70,2.96,-47.52
0.81,-10.70,2.17,-67.52,0.0,0.0,0.0,7.61,0.00,0.00,None,None,-10.70,2.17,-47.52
0.90,-10.70,1.73,-67.52,0.0,0.0,0.0,4.51,0.00,0.00,None,None,-10.70,1.73,-47.52
1.00,-10.70,1.73,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.73,-47.52
1.10,-10.70,1.73,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.73,-47.52
1.20,-10.70,1.73,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.73,-47.52
1.30,-10.70,1.73,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.73,-47.52
1.40,-10.70,1.73,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.73,-47.52
1.50,-10.70,1.73,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.73,-47.52
1.60,-10.70,1.73,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.73,-47.52
1.72,-10.70,1.73,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.73,-47.52
1.80,-10.80,1.73,-67.52,0.0,0.0,0.0,1.14,0.00,0.00,None,None,-10.80,1.73,-47.52
1.90,-10.90,1.73,-67.52,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.90,1.73,-47.52
2.00,-11.00,1.73,-67.52,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-11.00,1.73,-47.52
2.10,-11.10,1.73,-67.52,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-11.10,1.73,-47.52
2.20,-11.20,1.73,-67.52,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-11.20,1.73,-47.52
2.30,-11.30,1.73,-67.52,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-11.30,1.73,-47.52
2.41,-11.40,1.73,-67.48,0.0,0.0,0.0,1.09,0.00,0.00,None,None,-11.40,1.73,-47.48
2.50,-11.50,1.73,-67.38,0.0,0.0,0.0,1.41,0.00,0.00,None,None,-11.50,1.73,-47.38
2.60,-11.60,1.73,-67.28,0.0,0.0,0.0,1.42,0.00,0.00,None,None,-11.60,1.73,-47.28
2.70,-11.70,1.73,-67.18,0.0,0.0,0.0,1.41,0.00,0.00,None,None,-11.70,1.73,-47.18
2.80,-11.72,1.73,-67.08,0.0,0.0,0.0,1.03,0.00,0.00,None,None,-11.72,1.73,-47.08
2.91,-11.72,1.73,-66.98,0.0,0.0,0.0,0.96,0.00,0.00,None,None,-11.72,1.73,-46.98
3.00,-11.72,1.73,-66.88,0.0,0.0,0.0,1.05,0.00,0.00,None,None,-11.72,1.73,-46.88
3.10,-11.72,1.73,-66.78,0.0,0.0,0.0,0.98,0.00,0.00,None,None,-11.72,1.73,-46.78
3.20,-11.72,1.73,-66.68,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-11.72,1.73,-46.68
3.31,-11.72,1.73,-66.58,0.0,0.0,0.0,0.98,0.00,0.00,None,None,-11.72,1.73,-46.58
3.41,-11.72,1.73,-66.48,0.0,0.0,0.0,1.03,0.00,0.00,None,None,-11.72,1.73,-46.48
3.50,-11.72,1.73,-66.38,0.0,0.0,0.0,1.01,0.00,0.00,None,None,-11.72,1.73,-46.38
3.60,-11.72,1.73,-66.28,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-11.72,1.73,-46.28
3.70,-11.72,1.73,-66.18,0.0,0.0,0.0,0.98,0.00,0.00,None,None,-11.72,1.73,-46.18
3.80,-11.72,1.73,-66.08,0.0,0.0,0.0,1.01,0.00,0.00,None,None,-11.72,1.73,-46.08
3.90,-11.72,1.73,-65.98,0.0,0.0,0.0,1.02,0.00,0.00,None,None,-11.72,1.73,-45.98
4.00,-11.72,1.73,-65.88,0.0,0.0,0.0,1.01,0.00,0.00,None,None,-11.72,1.73,-45.88
4.10,-11.72,1.73,-65.78,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-11.72,1.73,-45.78
