Time,X,Y,Z,RotX,RotY,RotZ,Speed,YawRate,PitchRate,Event,GazeTarget,GazeHitX,GazeHitY,GazeHitZ
0.00,-10.48,4.88,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,None,0.00,0.00,0.00
0.12,-10.48,4.86,-68.29,0.0,0.0,0.0,0.10,0.00,0.00,None,Signs,-10.48,4.86,-51.85
0.22,-10.48,4.62,-68.29,0.0,0.0,0.0,2.42,0.00,0.00,None,Signs,-10.48,4.62,-51.85
0.32,-10.48,4.26,-68.29,0.0,0.0,0.0,3.61,0.00,0.00,None,None,-10.48,4.26,-48.29
0.40,-10.48,3.85,-68.29,0.0,0.0,0.0,4.87,0.00,0.00,None,None,-10.48,3.85,-48.29
0.50,-10.48,3.39,-68.29,0.0,0.0,0.0,4.68,0.00,0.00,None,None,-10.48,3.39,-48.29
0.62,-10.48,2.86,-68.29,0.0,0.0,0.0,4.53,0.00,0.00,None,RecycleBin,-10.48,2.86,-51.86
0.70,-10.48,2.15,-68.29,0.0,0.0,0.0,8.82,0.00,0.00,None,RecycleBin,-10.48,2.15,-51.86
0.80,-10.48,1.97,-68.29,0.0,0.0,0.0,1.79,0.00,0.00,None,RecycleBin,-10.48,1.97,-51.86
0.90,-10.48,1.97,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.48,1.97,-51.86
1.01,-10.48,1.97,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.48,1.97,-51.86
1.11,-10.48,1.97,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.48,1.97,-51.86
1.20,-10.48,1.97,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.48,1.97,-51.86
1.31,-10.48,1.97,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.48,1.97,-51.86
1.40,-10.48,1.97,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.48,1.97,-51.86
1.50,-10.48,1.97,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.48,1.97,-51.86
1.60,-10.48,1.97,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.48,1.97,-51.86
1.70,-10.48,1.97,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.48,1.97,-51.86
1.80,-10.48,1.97,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.48,1.97,-51.86
1.90,-10.48,1.97,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.48,1.97,-51.86
2.00,-10.48,1.97,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.48,1.97,-51.86
2.10,-10.48,1.97,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.48,1.97,-51.86
2.20,-10.48,1.97,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.48,1.97,-51.86
2.31,-10.48,1.97,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.48,1.97,-51.86
2.40,-10.48,1.97,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.48,1.97,-51.86
2.50,-10.48,1.97,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.48,1.97,-51.86
2.61,-10.48,1.97,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.48,1.97,-51.86
2.70,-10.48,1.97,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.48,1.97,-51.86
2.80,-10.48,1.97,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.48,1.97,-51.86
2.90,-10.48,1.97,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.48,1.97,-51.86
2.95,-10.48,1.97,-68.29,0.0,0.0,0.0,,,,ConfusedPromptActivated,RecycleBin,-10.48,1.97,-51.86
3.00,-10.48,1.97,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.48,1.97,-51.86
3.10,-10.48,1.97,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.48,1.97,-51.86
3.20,-10.48,1.97,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.48,1.97,-51.86
3.30,-10.48,1.97,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.48,1.97,-51.86
3.40,-10.48,1.97,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.48,1.97,-51.86
3.50,-10.48,1.97,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.48,1.97,-51.86
3.60,-10.48,1.97,-68.29,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.48,1.97,-51.86
