Time,X,Y,Z,RotX,RotY,RotZ,Speed,YawRate,PitchRate,Event,GazeTarget,GazeHitX,GazeHitY,GazeHitZ
0.00,-113.23,5.71,51.50,0.0,0.0,0.0,0.00,0.00,0.00,None,None,0.00,0.00,0.00
0.12,-113.23,5.70,51.50,0.0,0.0,0.0,0.10,0.00,0.00,None,None,-113.23,5.70,71.50
0.22,-113.23,5.70,51.50,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-113.23,5.70,71.50
0.32,-113.23,4.96,51.50,0.0,0.0,0.0,7.34,0.00,0.00,None,None,-113.23,4.96,71.50
0.41,-113.23,4.41,51.50,0.0,0.0,0.0,6.40,0.00,0.00,None,None,-113.23,4.41,71.50
0.51,-113.23,3.94,51.50,0.0,0.0,0.0,4.74,0.00,0.00,None,None,-113.23,3.94,71.50
0.60,-113.23,3.40,51.50,0.0,0.0,0.0,5.69,0.00,0.00,None,None,-113.23,3.40,71.50
0.70,-113.23,2.74,51.50,0.0,0.0,0.0,6.61,0.00,0.00,None,None,-113.23,2.74,71.50
0.80,-113.23,1.98,51.50,0.0,0.0,0.0,7.59,0.00,0.00,None,None,-113.23,1.98,71.50
0.90,-113.23,1.71,51.50,0.0,0.0,0.0,2.63,0.00,0.00,None,None,-113.23,1.71,71.50
1.00,-113.23,1.71,51.50,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-113.23,1.71,71.50
1.10,-113.23,1.71,51.50,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-113.23,1.71,71.50
1.20,-113.23,1.71,51.50,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-113.23,1.71,71.50
1.30,-113.23,1.71,51.50,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-113.23,1.71,71.50
1.40,-113.23,1.71,51.50,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-113.23,1.71,71.50
1.50,-113.23,1.71,51.50,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-113.23,1.71,71.50
