Time,X,Y,Z,RotX,RotY,RotZ,Speed,YawRate,PitchRate,Event,GazeTarget,GazeHitX,GazeHitY,GazeHitZ
0.00,-114.80,5.71,61.08,0.0,0.0,0.0,0.00,0.00,0.00,None,None,0.00,0.00,0.00
0.12,-114.80,5.70,61.08,0.0,0.0,0.0,0.10,0.00,0.00,None,None,-114.80,5.70,81.08
0.22,-114.80,5.70,61.08,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-114.80,5.70,81.08
0.32,-114.80,5.70,61.08,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-114.80,5.70,81.08
0.42,-114.80,4.64,61.08,0.0,0.0,0.0,10.56,0.00,0.00,None,None,-114.80,4.64,81.08
0.51,-114.80,3.82,61.08,0.0,0.0,0.0,9.59,0.00,0.00,None,None,-114.80,3.82,81.08
0.61,-114.80,3.25,61.08,0.0,0.0,0.0,5.72,0.00,0.00,None,None,-114.80,3.25,81.08
0.71,-114.80,2.56,61.08,0.0,0.0,0.0,6.72,0.00,0.00,None,None,-114.80,2.56,81.08
0.80,-114.80,1.85,61.08,0.0,0.0,0.0,7.64,0.00,0.00,None,None,-114.80,1.85,81.08
0.90,-114.80,1.73,61.08,0.0,0.0,0.0,1.25,0.00,0.00,None,None,-114.80,1.73,81.08
1.00,-114.80,1.73,61.08,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-114.80,1.73,81.08
1.10,-114.80,1.73,61.08,1.0,14.6,0.0,0.00,146.59,10.04,None,None,-109.76,1.38,80.43
1.20,-114.80,1.73,61.08,1.6,27.6,0.0,0.00,131.69,6.08,None,None,-105.54,1.17,78.80
1.30,-114.80,1.73,61.08,0.2,35.4,0.0,0.00,77.32,-13.88,None,None,-103.21,1.66,77.38
1.40,-114.80,1.73,61.08,359.8,50.2,0.0,0.00,147.20,-3.98,None,None,-99.43,1.80,73.88
1.50,-114.80,1.73,61.08,358.6,73.4,0.0,0.00,238.38,-12.33,None,None,-95.64,2.22,66.79
1.60,-114.80,1.73,61.08,358.2,86.8,0.0,0.00,130.63,-3.90,None,None,-94.84,2.36,62.20
1.70,-114.80,1.73,61.08,358.4,101.0,0.0,0.00,143.23,2.02,None,None,-95.18,2.29,57.27
1.81,-114.80,1.73,61.08,358.2,105.4,0.0,0.00,42.52,-1.93,None,None,-95.53,2.36,55.77
1.90,-114.80,1.73,61.08,358.2,105.4,0.0,0.00,0.00,0.00,None,None,-95.53,2.36,55.77
2.00,-114.80,1.73,61.08,358.6,103.6,0.0,0.00,-17.89,3.97,None,None,-95.37,2.22,56.38
2.11,-114.80,1.73,61.08,359.4,110.4,0.0,0.00,65.32,7.68,None,None,-96.06,1.94,54.11
2.20,-114.80,1.73,61.08,359.6,134.6,0.0,0.00,249.58,2.06,None,None,-100.56,1.87,47.04
2.31,-114.80,1.73,61.08,0.2,160.6,0.0,0.00,252.63,5.83,None,None,-108.16,1.66,42.22
