Time,X,Y,Z,RotX,RotY,RotZ,Speed,YawRate,PitchRate,Event,GazeTarget,GazeHitX,GazeHitY,GazeHitZ
0.00,-10.70,5.71,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,0.00,0.00,0.00
0.12,-10.70,5.70,-67.52,0.0,0.0,0.0,0.10,0.00,0.00,None,None,-10.70,5.70,-47.52
0.22,-10.70,5.39,-67.52,0.0,0.0,0.0,3.04,0.00,0.00,None,None,-10.70,5.39,-47.52
0.30,-10.70,5.05,-67.52,0.0,0.0,0.0,4.18,0.00,0.00,None,None,-10.70,5.05,-47.52
0.42,-10.70,4.59,-67.52,0.0,0.0,0.0,3.90,0.00,0.00,None,None,-10.70,4.59,-47.52
0.50,-10.70,4.19,-67.52,0.0,0.0,0.0,4.81,0.00,0.00,None,None,-10.70,4.19,-47.52
0.60,-10.70,3.61,-67.52,0.0,0.0,0.0,5.79,0.00,0.00,None,None,-10.70,3.61,-47.52
0.70,-10.70,2.95,-67.52,0.0,0.0,0.0,6.63,0.00,0.00,None,None,-10.70,2.95,-47.52
0.80,-10.70,2.20,-67.52,0.0,0.0,0.0,7.60,0.00,0.00,None,None,-10.70,2.20,-47.52
0.91,-10.70,1.72,-67.52,0.0,0.0,0.0,4.59,0.00,0.00,None,None,-10.70,1.72,-47.52
1.00,-10.70,1.72,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.72,-47.52
1.10,-10.70,1.72,-67.42,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.72,-47.42
1.20,-10.70,1.72,-67.32,0.0,0.0,0.0,0.99,0.00,0.00,None,None,-10.70,1.72,-47.32
1.30,-10.70,1.72,-67.22,0.0,0.0,0.0,1.01,0.00,0.00,None,None,-10.70,1.72,-47.22
1.40,-10.70,1.72,-67.12,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.72,-47.12
1.50,-10.70,1.72,-67.02,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.72,-47.02
1.60,-10.70,1.72,-66.92,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.72,-46.92
1.70,-10.70,1.72,-66.82,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.72,-46.82
1.81,-10.70,1.72,-66.72,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.72,-46.72
1.90,-10.70,1.72,-66.62,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.72,-46.62
2.00,-10.70,1.72,-66.52,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.72,-46.52
2.10,-10.70,1.72,-66.42,0.0,0.0,0.0,0.99,0.00,0.00,None,None,-10.70,1.72,-46.42
2.20,-10.70,1.72,-66.32,0.0,0.0,0.0,1.01,0.00,0.00,None,None,-10.70,1.72,-46.32
2.30,-10.70,1.72,-66.22,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.72,-46.22
2.40,-10.70,1.72,-66.12,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.72,-46.12
2.50,-10.70,1.72,-66.02,0.0,0.0,0.0,0.98,0.00,0.00,None,None,-10.70,1.72,-46.02
2.60,-10.70,1.72,-65.92,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.72,-45.92
2.70,-10.70,1.72,-65.82,0.0,0.0,0.0,1.01,0.00,0.00,None,None,-10.70,1.72,-45.82
2.80,-10.70,1.72,-65.72,0.0,0.0,0.0,0.98,0.00,0.00,None,None,-10.70,1.72,-45.72
2.90,-10.70,1.72,-65.62,0.0,0.0,0.0,1.01,0.00,0.00,None,None,-10.70,1.72,-45.62
3.00,-10.70,1.72,-65.52,0.0,0.0,0.0,1.01,0.00,0.00,None,None,-10.70,1.72,-45.52
3.10,-10.79,1.72,-65.42,0.0,0.0,0.0,1.38,0.00,0.00,None,None,-10.79,1.72,-45.42
3.20,-10.90,1.72,-65.32,0.0,0.0,0.0,1.42,0.00,0.00,None,None,-10.90,1.72,-45.32
3.30,-10.99,1.72,-65.22,0.0,0.0,0.0,1.41,0.00,0.00,None,None,-10.99,1.72,-45.22
3.40,-11.10,1.72,-65.12,0.0,0.0,0.0,1.42,0.00,0.00,None,None,-11.10,1.72,-45.12
3.50,-11.19,1.72,-65.02,0.0,0.0,0.0,1.42,0.00,0.00,None,None,-11.19,1.72,-45.02
3.60,-11.29,1.72,-64.92,0.0,0.0,0.0,1.41,0.00,0.00,None,None,-11.29,1.72,-44.92
3.70,-11.39,1.72,-64.82,0.0,0.0,0.0,1.42,0.00,0.00,None,None,-11.39,1.72,-44.82
3.80,-11.49,1.72,-64.72,0.0,0.0,0.0,1.41,0.00,0.00,None,None,-11.49,1.72,-44.72
3.90,-11.59,1.72,-64.62,0.0,0.0,0.0,1.41,0.00,0.00,None,None,-11.59,1.72,-44.62
4.00,-11.70,1.72,-64.52,0.0,0.0,0.0,1.42,0.00,0.00,None,None,-11.70,1.72,-44.52
4.10,-11.71,1.72,-64.42,0.0,0.0,0.0,1.02,0.00,0.00,None,None,-11.71,1.72,-44.42
