Time,X,Y,Z,RotX,RotY,RotZ,Speed,YawRate,PitchRate,Event,GazeTarget,GazeHitX,GazeHitY,GazeHitZ
0.00,-10.70,5.71,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,0.00,0.00,0.00
0.12,-10.70,5.70,-67.52,0.0,0.0,0.0,0.10,0.00,0.00,None,None,-10.70,5.70,-47.52
0.21,-10.70,5.26,-67.52,0.0,0.0,0.0,4.74,0.00,0.00,None,None,-10.70,5.26,-47.52
0.32,-10.70,4.92,-67.52,0.0,0.0,0.0,3.29,0.00,0.00,None,None,-10.70,4.92,-47.52
0.42,-10.70,4.62,-67.52,0.0,0.0,0.0,2.83,0.00,0.00,None,None,-10.70,4.62,-47.52
0.50,-10.70,4.11,-67.52,0.0,0.0,0.0,6.22,0.00,0.00,None,None,-10.70,4.11,-47.52
0.60,-10.70,3.56,-67.52,0.0,0.0,0.0,5.64,0.00,0.00,None,None,-10.70,3.56,-47.52
0.71,-10.70,2.85,-67.52,0.0,0.0,0.0,6.64,0.00,0.00,None,None,-10.70,2.85,-47.52
0.80,-10.70,2.12,-67.52,0.0,0.0,0.0,7.63,0.00,0.00,None,None,-10.70,2.12,-47.52
0.90,-10.70,1.95,-67.52,0.0,0.0,0.0,1.69,0.00,0.00,None,None,-10.70,1.95,-47.52
1.01,-10.70,1.95,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.95,-47.52
1.10,-10.70,1.95,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.95,-47.52
1.20,-10.70,1.95,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.95,-47.52
1.30,-10.70,1.95,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.95,-47.52
1.40,-10.70,1.95,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.95,-47.52
1.50,-10.70,1.95,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.95,-47.52
1.60,-10.70,1.95,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.95,-47.52
1.70,-10.70,1.95,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.95,-47.52
1.81,-10.70,1.95,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-10.70,1.95,-47.52
1.90,-10.70,1.95,-67.48,0.0,0.0,0.0,0.41,0.00,0.00,None,None,-10.70,1.95,-47.48
2.00,-10.70,1.95,-67.38,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.95,-47.38
2.10,-10.70,1.95,-67.28,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.95,-47.28
2.21,-10.70,1.95,-67.18,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.95,-47.18
2.30,-10.70,1.95,-67.08,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-10.70,1.95,-47.08
2.41,-10.70,1.95,-66.98,0.0,0.0,0.0,0.98,0.00,0.00,None,None,-10.70,1.95,-46.98
2.50,-10.70,1.95,-66.88,0.0,0.0,0.0,1.01,0.00,0.00,None,None,-10.70,1.95,-46.88
2.61,-10.70,1.95,-66.78,0.0,0.0,0.0,0.98,0.00,0.00,None,None,-10.70,1.95,-46.78
2.71,-10.71,1.95,-66.68,0.0,0.0,0.0,0.99,0.00,0.00,None,None,-10.71,1.95,-46.68
2.81,-10.81,1.95,-66.58,0.0,0.0,0.0,1.44,0.00,0.00,None,None,-10.81,1.95,-46.58
2.91,-10.91,1.95,-66.48,0.0,0.0,0.0,1.43,0.00,0.00,None,None,-10.91,1.95,-46.48
3.01,-11.01,1.95,-66.38,0.0,0.0,0.0,1.36,0.00,0.00,None,None,-11.01,1.95,-46.38
3.10,-11.11,1.95,-66.28,0.0,0.0,0.0,1.49,0.00,0.00,None,None,-11.11,1.95,-46.28
3.20,-11.21,1.95,-66.18,0.0,0.0,0.0,1.40,0.00,0.00,None,None,-11.21,1.95,-46.18
3.31,-11.28,1.95,-66.08,0.0,0.0,0.0,1.17,0.00,0.00,None,None,-11.28,1.95,-46.08
3.41,-11.28,1.95,-65.98,0.0,0.0,0.0,1.07,0.00,0.00,None,None,-11.28,1.95,-45.98
3.50,-11.28,1.95,-65.88,0.0,0.0,0.0,0.94,0.00,0.00,None,None,-11.28,1.95,-45.88
3.61,-11.28,1.95,-65.78,0.0,0.0,0.0,1.05,0.00,0.00,None,None,-11.28,1.95,-45.78
3.70,-11.28,1.95,-65.68,0.0,0.0,0.0,1.02,0.00,0.00,None,None,-11.28,1.95,-45.68
3.80,-11.28,1.95,-65.58,0.0,0.0,0.0,0.98,0.00,0.00,None,None,-11.28,1.95,-45.58
3.90,-11.28,1.95,-65.48,0.0,0.0,0.0,1.03,0.00,0.00,None,None,-11.28,1.95,-45.48
4.00,-11.28,1.95,-65.38,0.0,0.0,0.0,0.99,0.00,0.00,None,None,-11.28,1.95,-45.38
4.10,-11.28,1.95,-65.28,0.0,0.0,0.0,1.00,0.00,0.00,None,None,-11.28,1.95,-45.28
