Time,X,Y,Z,RotX,RotY,RotZ,Speed,YawRate,PitchRate,Event,GazeTarget,GazeHitX,GazeHitY,GazeHitZ
0.00,-95.84,7.31,61.22,0.0,0.0,0.0,0.00,0.00,0.00,None,None,0.00,0.00,0.00
0.12,-95.84,7.30,61.22,0.0,0.0,0.0,0.10,0.00,0.00,None,None,-95.84,7.30,81.22
0.22,-95.84,7.30,61.22,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-95.84,7.30,81.22
0.31,-95.84,6.48,61.22,0.0,0.0,0.0,8.75,0.00,0.00,None,None,-95.84,6.48,81.22
0.40,-95.84,6.15,61.22,0.0,0.0,0.0,3.76,0.00,0.00,None,None,-95.84,6.15,81.22
0.51,-95.84,5.66,61.22,0.0,0.0,0.0,4.73,0.00,0.00,None,None,-95.84,5.66,81.22
0.60,-95.84,5.11,61.22,0.0,0.0,0.0,5.71,0.00,0.00,None,None,-95.84,5.11,81.22
0.70,-95.84,4.43,61.22,0.0,0.0,0.0,6.64,0.00,0.00,None,None,-95.84,4.43,81.22
0.80,-95.84,3.68,61.22,0.0,0.0,0.0,7.63,0.00,0.00,None,None,-95.84,3.68,81.22
0.90,-95.84,2.79,61.22,0.0,0.0,0.0,8.62,0.00,0.00,None,None,-95.84,2.79,81.22
1.01,-95.84,1.81,61.22,0.0,0.0,0.0,9.63,0.00,0.00,None,None,-95.84,1.81,81.22
1.10,-95.84,1.60,61.22,0.0,0.0,0.0,2.15,0.00,0.00,None,None,-95.84,1.60,81.22
1.20,-95.84,1.60,61.22,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-95.84,1.60,81.22
1.30,-95.84,1.60,61.22,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-95.84,1.60,81.22
1.40,-95.84,1.60,61.22,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-95.84,1.60,81.22
1.50,-95.84,1.60,61.22,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-95.84,1.60,81.22
1.60,-95.84,1.60,61.22,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-95.84,1.60,81.22
1.70,-95.84,1.60,61.22,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-95.84,1.60,81.22
1.80,-95.84,1.60,61.22,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-95.84,1.60,81.22
1.90,-95.84,1.60,61.22,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-95.84,1.60,81.22
2.00,-95.84,1.60,61.22,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-95.84,1.60,81.22
2.10,-95.84,1.60,61.22,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-95.84,1.60,81.22
2.22,-95.84,1.60,61.22,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-95.84,1.60,81.22
2.32,-95.84,1.60,61.22,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-95.84,1.60,81.22
2.42,-95.84,1.60,61.22,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-95.84,1.60,81.22
2.52,-95.84,1.60,61.22,0.0,0.0,0.0,0.00,0.00,0.00,None,None,-95.84,1.60,81.22
2.60,-95.84,1.60,61.22,356.0,346.2,0.0,0.00,-169.66,-49.18,None,None,-100.60,3.00,80.59
2.72,-95.84,1.60,61.22,355.8,345.4,0.0,0.00,-6.74,-1.69,None,None,-100.80,3.06,80.54
2.80,-95.87,1.60,61.33,355.8,343.0,0.0,1.40,-28.37,0.00,None,None,-101.70,3.06,80.41
2.92,-95.90,1.60,61.44,355.8,343.0,0.0,0.95,0.00,0.00,None,None,-101.74,3.06,80.51
3.01,-95.93,1.60,61.53,355.8,343.0,0.0,1.08,0.00,0.00,None,None,-101.76,3.06,80.60
3.11,-95.96,1.60,61.61,355.8,343.0,0.0,0.89,0.00,0.00,None,None,-101.79,3.06,80.69
3.22,-95.99,1.60,61.73,355.8,346.2,0.0,1.04,27.87,0.00,None,None,-101.82,3.06,80.78
3.31,-96.00,1.60,61.82,355.6,14.2,0.0,1.07,309.15,-2.21,None,None,-91.11,3.13,81.15
3.40,-95.96,1.60,61.91,355.4,36.2,0.0,1.00,241.45,-2.20,None,None,-84.19,3.20,77.99
3.50,-95.88,1.60,61.98,355.0,55.2,0.0,1.08,190.64,-4.01,None,None,-79.52,3.34,73.35
3.60,-95.80,1.60,62.03,354.8,56.0,0.0,0.96,7.86,-1.96,None,None,-79.29,3.41,73.17
3.72,-95.71,1.60,62.08,355.8,76.8,0.0,0.85,178.01,8.56,None,None,-77.09,3.13,69.15
