Time,X,Y,Z,RotX,RotY,RotZ,Speed,YawRate,PitchRate,Event,GazeTarget,GazeHitX,GazeHitY,GazeHitZ
0.00,-10.70,5.71,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,None,0.00,0.00,0.00
0.12,-10.70,5.70,-67.52,0.0,0.0,0.0,0.10,0.00,0.00,None,Signs,-10.70,5.70,-51.85
0.22,-10.70,5.70,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,Signs,-10.70,5.70,-51.85
0.32,-10.70,5.14,-67.52,0.0,0.0,0.0,5.53,0.00,0.00,None,Signs,-10.70,5.14,-51.85
0.42,-10.70,4.57,-67.52,0.0,0.0,0.0,5.75,0.00,0.00,None,Signs,-10.70,4.57,-51.85
0.52,-10.70,3.99,-67.52,0.0,0.0,0.0,6.06,0.00,0.00,None,None,-10.70,3.99,-47.52
0.60,-10.70,3.47,-67.52,0.0,0.0,0.0,5.81,0.00,0.00,None,None,-10.70,3.47,-47.52
0.70,-10.70,2.83,-67.52,0.0,0.0,0.0,6.64,0.00,0.00,None,RecycleBin,-10.70,2.83,-51.86
0.81,-10.70,2.03,-67.52,0.0,0.0,0.0,7.64,0.00,0.00,None,RecycleBin,-10.70,2.03,-51.86
0.90,-10.70,1.94,-67.52,0.0,0.0,0.0,0.87,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
1.01,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
1.10,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
1.20,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
1.31,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
1.40,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
1.51,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
1.60,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
1.71,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
1.81,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
1.90,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
2.00,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
2.11,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
2.20,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
2.30,-10.70,1.94,-67.52,0.0,0.0,0.0,0.00,0.00,0.00,None,RecycleBin,-10.70,1.94,-51.86
2.40,-10.70,1.94,-67.52,0.0,359.6,0.0,0.00,-4.04,0.00,None,RecycleBin,-10.81,1.94,-51.86
2.50,-10.70,1.94,-67.52,357.4,346.0,0.0,0.00,-133.89,-25.60,None,None,-15.53,2.85,-48.13
2.60,-10.70,1.94,-67.52,355.6,335.4,0.0,0.00,-105.71,-17.95,None,None,-19.00,3.48,-49.39
2.71,-10.70,1.94,-67.52,355.2,323.0,0.0,0.00,-118.53,-3.82,None,None,-22.69,3.62,-51.60
2.81,-10.70,1.94,-67.52,356.4,302.2,0.0,0.00,-205.65,11.86,None,None,-27.59,3.20,-56.88
